层,纬度deg,弧高m,底宽m,顶宽m,深度m,数量,单个体积m3,层体积m3,层质量吨
A(最下),83.602,4.08,3.88,3.77,0.67,28,10.78,301.839,633.862
B,71.1832,3.79,3.74,3.48,0.65,28,9.16263,256.554,538.762
C,59.4925,3.52,3.39,3.02,0.61,28,7.07759,198.173,416.162
D,48.7642,3.05,2.92,2.5,0.54,28,4.57481,128.095,268.999
E(最上),39.5053,2.39,2.38,2.02,0.48,28,2.57938,72.2226,130.001
