factor,B_percent,JCF,JCIR_percent,peak_stress_kPa,MCFR_percent
0.6,4.79524,0.0667562,4.79524,613.637,3.42167
0.8,6.43057,0.0656095,6.43057,606.223,4.58858
1,8.08454,0.0644498,8.08454,598.724,5.76877
1.2,9.75725,0.0632769,9.75725,591.14,6.96234
1.4,11.4488,0.0620908,11.4488,583.471,8.16936
